FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination,Note
104857664,64,10000000000,0.04,33554432,4,2,16,0,865.4310946,59.16134787,11/5/14,52:46.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,32,1,799.2558583,64.05967093,11/5/14,53:45.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,32,0,804.7054116,63.62584686,11/5/14,54:49.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,1,1,1520.447736,33.67435288,11/5/14,55:53.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,1,0,1235.901941,41.42729616,11/5/14,56:26.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,2,1,1365.506185,37.49531794,11/5/14,57:08.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,2,0,1497.810735,34.18328905,11/5/14,57:45.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,4,1,1746.954343,29.3082099,11/5/14,58:19.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,4,0,1369.433262,37.38782191,11/5/14,58:49.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,8,1,1453.950469,35.214463,11/5/14,59:26.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,8,0,1263.29534,40.52899098,11/5/14,00:01.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,16,1,1223.141899,41.85947514,11/5/14,00:42.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,16,0,1010.666757,50.65969515,11/5/14,01:24.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,32,1,1181.98549,43.31701088,11/5/14,02:14.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,4,32,0,756.0839877,67.71743202,11/5/14,02:58.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,1,1,1796.083007,28.50653505,11/5/14,04:05.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,1,0,2060.977252,24.84264278,11/5/14,04:34.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,2,1,1679.378426,30.48752403,11/5/14,04:59.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,2,0,1976.321104,25.90677595,11/5/14,05:29.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,4,1,1837.495027,27.86407804,11/5/14,05:55.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,4,0,1704.651618,30.03551912,11/5/14,06:23.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,8,1,1548.475544,33.06487608,11/5/14,06:53.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,8,0,1621.166067,31.58227897,11/5/14,07:26.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,16,1,1121.898767,45.63698411,11/5/14,07:58.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,16,0,1391.57383,36.79297495,11/5/14,08:43.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,32,1,934.509372,54.78817487,11/5/14,09:20.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,8,32,0,805.1349723,63.59193993,11/5/14,10:15.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,1,1,2309.481681,22.16954207,11/5/14,11:18.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,1,0,2397.727667,21.35363507,11/5/14,11:41.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,2,1,1774.16327,28.85872698,11/5/14,12:02.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,2,0,1621.272022,31.58020186,11/5/14,12:31.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,4,1,1805.748834,28.35397601,11/5/14,13:02.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,4,0,2011.071769,25.45911098,11/5/14,13:31.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,8,1,1371.62664,37.32800293,11/5/14,13:56.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,8,0,1591.069852,32.179703,11/5/14,14:34.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,16,1,1378.099963,37.15266514,11/5/14,15:06.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,16,0,1243.548462,41.17256808,11/5/14,15:43.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,32,1,1437.226659,35.6242578,11/5/14,16:24.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,16,32,0,920.4354858,55.62592411,11/5/14,17:00.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,32,1,1,2704.880766,18.92879701,11/5/14,17:55.8,Stampede,Gordon/Oasis,
